,0,1,2,3,4
0,NN,55.2,56.09756097560976,97.1830985915493,71.1340206185567
1,SVM,56.8,56.8,100.0,72.44897959183673
2,DT,54.400000000000006,60.9375,54.929577464788736,57.77777777777777
3,GBDT,56.00000000000001,57.84313725490197,83.09859154929578,68.20809248554914
4,ADA,56.00000000000001,57.01754385964912,91.54929577464789,70.27027027027027
5,LR,54.400000000000006,56.03448275862068,91.54929577464789,69.51871657754009
6,KNN,57.599999999999994,60.0,76.05633802816901,67.0807453416149
7,SVC,56.00000000000001,56.779661016949156,94.36619718309859,70.89947089947091
8,SVC2,56.8,56.8,100.0,72.44897959183673
9,GPC,56.8,56.8,100.0,72.44897959183673
10,DTC,61.6,63.2183908045977,77.46478873239437,69.62025316455697
11,RFC,56.8,57.798165137614674,88.73239436619718,70.0
12,MLPC,56.00000000000001,57.01754385964912,91.54929577464789,70.27027027027027
13,ADABC,55.2,60.273972602739725,61.97183098591549,61.111111111111114
14,GNB,58.4,58.71559633027523,90.14084507042254,71.11111111111111
